Product ID,Price,Product Availability,Product Condition,Price Currency,Is Sale,Merchant,Shipping,Brand,Manufacturer,Primary Categories
AVpe9FXeLJeJML43zHrq,23.99,Yes,New,USD,False,Bestbuy.com,,DENAQ,Dantona,Electronics
AVpfVJXu1cnluZ0-iwTT,290.99,Yes,New,USD,False,Bestbuy.com,,DreamWave,,Electronics
AVpfVJXu1cnluZ0-iwTT,279.99,Yes,New,USD,False,Bestbuy.com,,DreamWave,,Electronics
AVpfVJXu1cnluZ0-iwTT,299.99,TRUE,new,USD,False,Bestbuy.com,,DreamWave,,Electronics
AVpfVJXu1cnluZ0-iwTT,225.99,TRUE,new,USD,True,Bestbuy.com,,DreamWave,,Electronics
AVpfVJXu1cnluZ0-iwTT,289.99,Yes,New,USD,False,Bestbuy.com,,DreamWave,,Electronics
AVphUeKeilAPnD_x3-Be,244.01,In Stock,New,USD,False,Growkart,Value,Yamaha,YAMAHA,Electronics
AVphUeKeilAPnD_x3-Be,132.99,Yes,New,USD,True,Bestbuy.com,Free Shippingon orders 35 and up,Yamaha,YAMAHA,Electronics
AVphUeKeilAPnD_x3-Be,149.99,Yes,New,USD,False,Bestbuy.com,,Yamaha,YAMAHA,Electronics
AVphUeKeilAPnD_x3-Be,149.95,In Stock,New,USD,True,bhphotovideo.com,Free Expedited Shipping,Yamaha,YAMAHA,Electronics
AVphUeKeilAPnD_x3-Be,136.99,Yes,New,USD,True,Bestbuy.com,Free Shipping on orders 35 and up,Yamaha,YAMAHA,Electronics
AVpi6aLv1cnluZ0-Rv8A,254.99,Yes,New,USD,True,Bestbuy.com,,Universal Remote Control,,Electronics
AVpi6aLv1cnluZ0-Rv8A,209.99,Yes,New,USD,True,Bestbuy.com,,Universal Remote Control,,Electronics
AVpi6aLv1cnluZ0-Rv8A,299.98,undefined,new,USD,False,Bestbuy.com,,Universal Remote Control,,Electronics
AVpi6aLv1cnluZ0-Rv8A,239.99,Yes,New,USD,True,Bestbuy.com,,Universal Remote Control,,Electronics
AVpi6aLv1cnluZ0-Rv8A,299.98,Yes,New,USD,False,Bestbuy.com,,Universal Remote Control,,Electronics
AVpf0Nyo1cnluZ0-rzhu,499.0,In Stock,New,USD,False,bhphotovideo.com,Free Expedited Shipping for most orders over $49,Bose,Bose,Electronics
AVpf0Nyo1cnluZ0-rzhu,699.99,Yes,New,USD,False,Bestbuy.com,,Bose,Bose,Electronics
AVpf0Nyo1cnluZ0-rzhu,699.0,In Stock,New,USD,False,bhphotovideo.com,Free Expedited Shipping for most orders over $49,Bose,Bose,Electronics
AVpf0Nyo1cnluZ0-rzhu,689.95,yes,New,USD,False,bargainbrokers,FREE,Bose,Bose,Electronics
AVpf0Nyo1cnluZ0-rzhu,599.0,In Stock,New,USD,False,bhphotovideo.com,Free Expedited Shipping for most orders over $49,Bose,Bose,Electronics
AWOpOCd2YSSHbkXw07ei,224.99,TRUE,new,USD,True,Bestbuy.com,,Samsung,,Electronics
AWOpOCd2YSSHbkXw07ei,249.99,TRUE,new,USD,False,Bestbuy.com,,Samsung,,Electronics
AV2Z1Efc-jtxr-f39lm6,139.99,Yes,New,USD,False,Bestbuy.com,,Corsair,,Electronics
AV2Z1Efc-jtxr-f39lm6,162.99,Yes,New,USD,False,Bestbuy.com,,Corsair,,Electronics
AV2Z1Efc-jtxr-f39lm6,189.99,TRUE,new,USD,False,Bestbuy.com,,Corsair,,Electronics
AV2Z1Efc-jtxr-f39lm6,194.82,In Stock,New,USD,False,Beach Audio Inc,Standard,Corsair,,Electronics
AV2Z1Efc-jtxr-f39lm6,149.99,Yes,New,USD,False,Bestbuy.com,,Corsair,,Electronics
AV2Z1Efc-jtxr-f39lm6,147.99,Yes,New,USD,False,Bestbuy.com,,Corsair,,Electronics
AV2Z1Efc-jtxr-f39lm6,158.95,In Stock,New,USD,False,Alex Magic Electronics,Value,Corsair,,Electronics
AV2Z1Efc-jtxr-f39lm6,154.99,Yes,New,USD,False,Bestbuy.com,,Corsair,,Electronics
AV2Z1Efc-jtxr-f39lm6,151.99,Yes,New,USD,False,Bestbuy.com,,Corsair,,Electronics
AVpgNkVc1cnluZ0-yJB6,55.99,Yes,New,USD,False,Bestbuy.com,,Outdoor Tech,,Electronics
AVpgNkVc1cnluZ0-yJB6,56.99,Yes,New,USD,False,Bestbuy.com,,Outdoor Tech,,Electronics
AVpgNkVc1cnluZ0-yJB6,65.99,Yes,New,USD,False,Bestbuy.com,,Outdoor Tech,,Electronics
AVpgNkVc1cnluZ0-yJB6,71.99,Yes,New,USD,False,Bestbuy.com,,Outdoor Tech,,Electronics
AVpgNkVc1cnluZ0-yJB6,63.99,Yes,New,USD,False,Bestbuy.com,,Outdoor Tech,,Electronics
AVpgNkVc1cnluZ0-yJB6,59.99,Yes,New,USD,False,Bestbuy.com,,Outdoor Tech,,Electronics
AVpgNkVc1cnluZ0-yJB6,64.99,Yes,New,USD,False,Bestbuy.com,,Outdoor Tech,,Electronics
AVpgNkVc1cnluZ0-yJB6,58.99,Yes,New,USD,False,Bestbuy.com,,Outdoor Tech,,Electronics
AVpgNkVc1cnluZ0-yJB6,57.99,Yes,New,USD,False,Bestbuy.com,,Outdoor Tech,,Electronics
AVpgGPyq1cnluZ0-wbTJ,99.99,In Stock,New,USD,False,UnbeatableSale,Freight,Motorola,Motorola,Electronics
AVpgGPyq1cnluZ0-wbTJ,99.99,Yes,New,USD,False,Bestbuy.com,,Motorola,Motorola,Electronics
AWACBprXKZqtpbFMVBZo,199.99,TRUE,new,USD,False,Bestbuy.com,,Samsung,,Electronics
AWACBprXKZqtpbFMVBZo,149.99,In Stock,New,USD,True,bhphotovideo.com,Free Expedited Shipping for most orders over $49,Samsung,,Electronics
AWACBprXKZqtpbFMVBZo,159.99,In Stock,New,USD,True,bhphotovideo.com,Free Expedited Shipping for most orders over $49,Samsung,,Electronics
AWACBprXKZqtpbFMVBZo,199.0,In Stock,New,USD,False,Walmart.com,Expedited,Samsung,,Electronics
AWACBprXKZqtpbFMVBZo,154.95,yes,New,USD,False,your-best-store,FREE,Samsung,,Electronics
AWACBprXKZqtpbFMVBZo,199.99,In Stock,New,USD,False,bhphotovideo.com,Free Expedited Shipping for most orders over $49,Samsung,,Electronics
AVpfVI9wilAPnD_xZxH-,89.99,In Stock,New,USD,False,BuyVPC,Value,WD,,Electronics
AVpfVI9wilAPnD_xZxH-,99.0,yes,New,USD,False,tube_works,,WD,,Electronics
AVpfVI9wilAPnD_xZxH-,83.99,In Stock,New,USD,True,bhphotovideo.com,Free Expedited Shipping,WD,,Electronics
AVpfVI9wilAPnD_xZxH-,84.99,In Stock,New,USD,False,bhphotovideo.com,Free Expedited Shipping for most orders over $49,WD,,Electronics
AVpfVI9wilAPnD_xZxH-,90.71,In Stock,New,USD,False,DigitalShopper,Standard,WD,,Electronics
AVpfVI9wilAPnD_xZxH-,84.99,Yes,New,USD,False,Bestbuy.com,,WD,,Electronics
AVpfVI9wilAPnD_xZxH-,89.95,In Stock,New,USD,False,bhphotovideo.com,Free Expedited Shipping for most orders over $49,WD,,Electronics
AVpi9AE_LJeJML43qkYJ,199.0,yes,New,USD,False,gabrians,FREE,Panamax,,Electronics
AVpi9AE_LJeJML43qkYJ,159.98,Yes,New,USD,False,Bestbuy.com,,Panamax,,Electronics
AVpi9AE_LJeJML43qkYJ,199.98,TRUE,new,USD,False,Bestbuy.com,,Panamax,,Electronics
AVpi9AE_LJeJML43qkYJ,75.0,yes,Seller refurbished,USD,False,discountparts99,FREE,Panamax,,Electronics
AVpiFC-LilAPnD_xAgKu,51.99,In Stock,New,USD,False,Car Audio Closeout,Value,Alpine,,Electronics
AVpiFC-LilAPnD_xAgKu,49.95,In Stock,New,USD,True,Audiosavings,Value,Alpine,,Electronics
AVpiFC-LilAPnD_xAgKu,49.99,yes,New,USD,False,www-sonicelectronix-com,FREE,Alpine,,Electronics
AVpiFC-LilAPnD_xAgKu,66.99,Yes,New,USD,True,Bestbuy.com,,Alpine,,Electronics
AVpiFC-LilAPnD_xAgKu,44.36,In Stock,New,USD,True,Audiosavings,Value,Alpine,,Electronics
AVpiFC-LilAPnD_xAgKu,79.99,Yes,New,USD,False,Bestbuy.com,,Alpine,,Electronics
AVpiFC-LilAPnD_xAgKu,44.35,In Stock,New,USD,False,Hotelectronics,Value,Alpine,,Electronics
AVpiFC-LilAPnD_xAgKu,72.99,Yes,New,USD,True,Bestbuy.com,,Alpine,,Electronics
AVpiFC-LilAPnD_xAgKu,65.99,Yes,New,USD,True,Bestbuy.com,,Alpine,,Electronics
AVpiFC-LilAPnD_xAgKu,71.99,Yes,New,USD,True,Bestbuy.com,,Alpine,,Electronics
AVpiFC-LilAPnD_xAgKu,89.99,Yes,New,USD,False,Bestbuy.com,,Alpine,,Electronics
AVpiFC-LilAPnD_xAgKu,80.99,Yes,New,USD,True,Bestbuy.com,,Alpine,,Electronics
AVpiFC-LilAPnD_xAgKu,64.99,Yes,New,USD,True,Bestbuy.com,,Alpine,,Electronics
AVpiFC-LilAPnD_xAgKu,59.99,Yes,New,USD,True,Bestbuy.com,,Alpine,,Electronics
AVpiSS1A1cnluZ0-LyAY,249.99,undefined,new,USD,False,Bestbuy.com,,Transcend,TRANSCEND Storage,Electronics
AVpiSS1A1cnluZ0-LyAY,289.99,Yes,New,USD,False,Bestbuy.com,Free Shipping,Transcend,TRANSCEND Storage,Electronics
AVpiSS1A1cnluZ0-LyAY,270.99,Yes,New,USD,True,Bestbuy.com,Free Shipping,Transcend,TRANSCEND Storage,Electronics
AVpiSS1A1cnluZ0-LyAY,348.99,In Stock,New,USD,False,bhphotovideo.com,Free Expedited Shipping for most orders over $49,Transcend,TRANSCEND Storage,Electronics
AVpiSS1A1cnluZ0-LyAY,349.99,In Stock,New,USD,False,bhphotovideo.com,Free Expedited Shipping for most orders over $49,Transcend,TRANSCEND Storage,Electronics
AVpgnnzJilAPnD_xu_7Q,22.99,Yes,New,USD,False,Bestbuy.com,,Samsung,SAMSUNG,Electronics
AVpgnnzJilAPnD_xu_7Q,14.84,yes,New,USD,False,accessorynet,FREE,Samsung,SAMSUNG,Electronics
AVpgnnzJilAPnD_xu_7Q,17.99,Yes,New,USD,False,Bestbuy.com,,Samsung,SAMSUNG,Electronics
AVpfyGvu1cnluZ0-rMw9,49.0,In Stock,New,USD,False,bhphotovideo.com,Free Expedited Shipping for most orders over $49,MEE audio,,Electronics
AVpfyGvu1cnluZ0-rMw9,34.99,In Stock,New,USD,True,bhphotovideo.com,Free Expedited Shipping for most orders over $49,MEE audio,,Electronics
AVpfyGvu1cnluZ0-rMw9,62.99,Yes,New,USD,False,Bestbuy.com,Free Shipping on orders 35 and up,MEE audio,,Electronics
AVpfyGvu1cnluZ0-rMw9,44.99,Yes,New,USD,False,Bestbuy.com,,MEE audio,,Electronics
AVpfyGvu1cnluZ0-rMw9,80.74,In Stock,New,USD,False,"OliveElect, LLC",Value,MEE audio,,Electronics
AVpfyGvu1cnluZ0-rMw9,49.99,In Stock,New,USD,False,bhphotovideo.com,Free Expedited Shipping for most orders over $49,MEE audio,,Electronics
AVpfyGvu1cnluZ0-rMw9,29.99,Yes,New,USD,False,Bestbuy.com,,MEE audio,,Electronics
AVpfyGvu1cnluZ0-rMw9,59.99,In Stock,New,USD,False,bhphotovideo.com,Free Expedited Shipping for most orders over $49,MEE audio,,Electronics
AVpjFAGc1cnluZ0-TWv2,449.99,Yes,New,USD,False,Bestbuy.com,,SpeakerCraft,,Electronics
AVpjFAGc1cnluZ0-TWv2,449.99,TRUE,new,USD,False,Bestbuy.com,,SpeakerCraft,,Electronics
AVpe8ZRY1cnluZ0-aY4H,21.99,Yes,New,USD,False,Bestbuy.com,,Peerless,Peerless,Electronics
AVpe8ZRY1cnluZ0-aY4H,32.0,In Stock,New,USD,False,Beach Audio Inc,Value,Peerless,Peerless,Electronics
AVpe8ZRY1cnluZ0-aY4H,21.99,undefined,new,USD,False,Bestbuy.com,,Peerless,Peerless,Electronics
AVpe8ZRY1cnluZ0-aY4H,17.85,In Stock,New,USD,False,bhphotovideo.com,Free Expedited Shipping for most orders over $49,Peerless,Peerless,Electronics
AVpfLsb-ilAPnD_xWtDE,46.69,In Stock,New,USD,False,Walmart.com,Expedited,Kenwood,Kenwood,Electronics
AVpfLsb-ilAPnD_xWtDE,47.99,In Stock,New,USD,True,Walmart.com,Expedited,Kenwood,Kenwood,Electronics
AVpfLsb-ilAPnD_xWtDE,52.52,In Stock,New,USD,False,Walmart.com,Expedited,Kenwood,Kenwood,Electronics
AVpfLsb-ilAPnD_xWtDE,48.01,In Stock,New,USD,True,Walmart.com,Expedited,Kenwood,Kenwood,Electronics
AVpfLsb-ilAPnD_xWtDE,55.31,yes,New,USD,False,gadget-town,FREE,Kenwood,Kenwood,Electronics
AVpfLsb-ilAPnD_xWtDE,57.93,In Stock,New,USD,True,HappEshopper,Standard,Kenwood,Kenwood,Electronics
AVpfLsb-ilAPnD_xWtDE,69.99,Yes,New,USD,True,Bestbuy.com,,Kenwood,Kenwood,Electronics
AVpfLsb-ilAPnD_xWtDE,56.68,Out Of Stock,New,USD,False,Walmart.com,,Kenwood,Kenwood,Electronics
AVpfLsb-ilAPnD_xWtDE,54.99,yes,New,USD,False,gadget-town,FREE,Kenwood,Kenwood,Electronics
AVpfLsb-ilAPnD_xWtDE,89.99,Yes,New,USD,True,Bestbuy.com,,Kenwood,Kenwood,Electronics
AVpfLsb-ilAPnD_xWtDE,77.99,Yes,New,USD,True,Bestbuy.com,,Kenwood,Kenwood,Electronics
AVpfLsb-ilAPnD_xWtDE,53.75,yes,New,USD,False,closeoutmartdeals,FREE,Kenwood,Kenwood,Electronics
AVpfLsb-ilAPnD_xWtDE,52.59,In Stock,New,USD,True,HappEshopper,Standard,Kenwood,Kenwood,Electronics
AVpfLsb-ilAPnD_xWtDE,99.99,Yes,New,USD,False,Bestbuy.com,,Kenwood,Kenwood,Electronics
AVpe8D1nLJeJML43yvxK,139.99,yes,Used,USD,False,kmaacp,,Panamax,,Electronics
AVpe8D1nLJeJML43yvxK,353.98,TRUE,new,USD,False,Bestbuy.com,,Panamax,,Electronics
AVpf3txeLJeJML43FN82,159.09,In Stock,New,USD,False,AMI Ventures Inc,Standard,Microsoft,Microsoft,Electronics
AVpf3txeLJeJML43FN82,159.99,Yes,New,USD,False,Bestbuy.com,,Microsoft,Microsoft,Electronics
AVpf3txeLJeJML43FN82,137.99,Yes,New,USD,True,Bestbuy.com,,Microsoft,Microsoft,Electronics
AVpf3txeLJeJML43FN82,159.99,In Stock,New,USD,False,Walmart.com,Expedited,Microsoft,Microsoft,Electronics
AVpf3txeLJeJML43FN82,159.99,In Stock,New,USD,False,bhphotovideo.com,Free Expedited Shipping for most orders over $49,Microsoft,Microsoft,Electronics
AVpf3txeLJeJML43FN82,124.19,In Stock,New,USD,False,uShopMall,Value,Microsoft,Microsoft,Electronics
AVpf3txeLJeJML43FN82,125.41,In Stock,New,USD,True,antonline,Value,Microsoft,Microsoft,Electronics
AVpf3txeLJeJML43FN82,121.99,Yes,New,USD,True,Bestbuy.com,,Microsoft,Microsoft,Electronics
AWIm0C3TYSSHbkXwx3S6,299.99,TRUE,new,USD,False,Bestbuy.com,,Ultimate Ears,,Electronics
AWIm0C3TYSSHbkXwx3S6,208.99,TRUE,new,USD,True,Bestbuy.com,,Ultimate Ears,,Electronics
AVpfBGsK1cnluZ0-cEkm,179.98,Yes,New,USD,False,Bestbuy.com,,Niles,,Electronics
AVpfBGsK1cnluZ0-cEkm,179.98,undefined,new,USD,False,Bestbuy.com,,Niles,,Electronics
AVpfJZfu1cnluZ0-e6h0,229.98,Yes,New,USD,False,Bestbuy.com,,SpeakerCraft,,Electronics
AVpfJZfu1cnluZ0-e6h0,229.98,TRUE,new,USD,False,Bestbuy.com,,SpeakerCraft,,Electronics
AV0A-lHuvKc47QAVflgj,219.99,undefined,new,USD,False,Bestbuy.com,,Corsair,,Electronics
AV0A-lHuvKc47QAVflgj,209.99,undefined,new,USD,True,Bestbuy.com,,Corsair,,Electronics
AV0A-lHuvKc47QAVflgj,179.99,Yes,New,USD,False,Bestbuy.com,,Corsair,,Electronics
AV0A-lHuvKc47QAVflgj,174.99,Yes,New,USD,False,Bestbuy.com,,Corsair,,Electronics
AVpgUFUC1cnluZ0-zve8,25.89,Yes,New,USD,False,Wayfair - Bestbuy.com,,DENAQ,Denaq,Electronics
AVpgUFUC1cnluZ0-zve8,20.99,Yes,New,USD,False,Bestbuy.com,,DENAQ,Denaq,Electronics
AVpgUFUC1cnluZ0-zve8,38.99,TRUE,new,USD,False,Wayfair - Walmart.com,,DENAQ,Denaq,Electronics
AVpgUFUC1cnluZ0-zve8,20.99,TRUE,new,USD,False,Bestbuy.com,,DENAQ,Denaq,Electronics
AVpgUFUC1cnluZ0-zve8,20.99,Yes,New,USD,True,Wayfair - Bestbuy.com,,DENAQ,Denaq,Electronics
AVpgUFUC1cnluZ0-zve8,29.99,TRUE,new,USD,False,Wayfair - Walmart.com,,DENAQ,Denaq,Electronics
AVpfSgKO1cnluZ0-h5Jx,49.95,In Stock,New,USD,False,District Camera,Value,Peak Design,Peak Design,Electronics
AVpfSgKO1cnluZ0-h5Jx,49.95,In Stock,New,USD,False,bhphotovideo.com,Free Expedited Shipping for most orders over $49,Peak Design,Peak Design,Electronics
AVpfSgKO1cnluZ0-h5Jx,39.99,yes,Used,USD,False,goldstar_tech,FREE,Peak Design,Peak Design,Electronics
AVpfSgKO1cnluZ0-h5Jx,29.95,In Stock,New,USD,True,bhphotovideo.com,Free Expedited Shipping for most orders over $49,Peak Design,Peak Design,Electronics
AVpfSgKO1cnluZ0-h5Jx,49.95,yes,New,USD,False,buydig,FREE,Peak Design,Peak Design,Electronics
AVpfSgKO1cnluZ0-h5Jx,39.99,Yes,New,USD,True,Bestbuy.com,,Peak Design,Peak Design,Electronics
AVpfSgKO1cnluZ0-h5Jx,42.46,In Stock,New,USD,False,bhphotovideo.com,Free Expedited Shipping for most orders over $49,Peak Design,Peak Design,Electronics
AVpfSgKO1cnluZ0-h5Jx,39.95,In Stock,New,USD,False,bhphotovideo.com,Free Expedited Shipping for most orders over $49,Peak Design,Peak Design,Electronics
AVpfSgKO1cnluZ0-h5Jx,49.99,Yes,New,USD,False,Bestbuy.com,,Peak Design,Peak Design,Electronics
AVpfnp8HLJeJML43AmVi,79.95,In Stock,New,USD,False,bhphotovideo.com,Free Expedited Shipping for most orders over $49,Lowepro,Lowepro,Electronics
AVpfnp8HLJeJML43AmVi,78.99,Yes,New,USD,False,Bestbuy.com,,Lowepro,Lowepro,Electronics
AVpfnp8HLJeJML43AmVi,89.95,In Stock,New,USD,False,bhphotovideo.com,Free Expedited Shipping for most orders over $49,Lowepro,Lowepro,Electronics
AVpfnp8HLJeJML43AmVi,65.19,In Stock,New,USD,False,Walmart.com,Expedited,Lowepro,Lowepro,Electronics
AVpfnp8HLJeJML43AmVi,66.99,In Stock,New,USD,False,bhphotovideo.com,Free Expedited Shipping for most orders over $49,Lowepro,Lowepro,Electronics
AVpfnp8HLJeJML43AmVi,79.95,In Stock,New,USD,False,Adorama Camera,Standard,Lowepro,Lowepro,Electronics
AV13iAUYGV-KLJ3aka9M,450.99,Yes,New,USD,True,Bestbuy.com,,Samsung,,Electronics
AV13iAUYGV-KLJ3aka9M,397.99,In Stock,New,USD,True,Walmart.com,Standard,Samsung,,Electronics
AV13iAUYGV-KLJ3aka9M,477.99,In Stock,New,USD,True,bhphotovideo.com,Free Expedited Shipping for most orders over $49,Samsung,,Electronics
AV13iAUYGV-KLJ3aka9M,496.36,In Stock,New,USD,False,Wholesale Connection,Value,Samsung,,Electronics
AV13iAUYGV-KLJ3aka9M,477.99,In Stock,New,USD,True,Walmart.com,Standard,Samsung,,Electronics
AV13iAUYGV-KLJ3aka9M,449.99,TRUE,new,USD,False,Bestbuy.com,,Samsung,,Electronics
AV13iAUYGV-KLJ3aka9M,479.99,Yes,New,USD,False,Bestbuy.com,,Samsung,,Electronics
AV13iAUYGV-KLJ3aka9M,497.99,In Stock,New,USD,True,Walmart.com,Standard,Samsung,,Electronics
AV13iAUYGV-KLJ3aka9M,549.0,In Stock,New,USD,False,Beach Camera,Standard,Samsung,,Electronics
AV13iAUYGV-KLJ3aka9M,497.99,In Stock,New,USD,False,bhphotovideo.com,Free Expedited Shipping for most orders over $49,Samsung,,Electronics
AV13iAUYGV-KLJ3aka9M,549.99,In Stock,New,USD,False,Beach Camera,Standard,Samsung,,Electronics
AV13iAUYGV-KLJ3aka9M,447.99,In Stock,New,USD,True,Walmart.com,Standard,Samsung,,Electronics
AV13iAUYGV-KLJ3aka9M,447.99,In Stock,New,USD,True,bhphotovideo.com,Free Expedited Shipping for most orders over $49,Samsung,,Electronics
AV13iAUYGV-KLJ3aka9M,529.0,In Stock,New,USD,False,Beach Camera,Standard,Samsung,,Electronics
AV13iAUYGV-KLJ3aka9M,329.99,In Stock,New,USD,True,Walmart.com,Standard,Samsung,,Electronics
AV13iAUYGV-KLJ3aka9M,431.99,Yes,New,USD,True,Bestbuy.com,,Samsung,,Electronics
AV13iAUYGV-KLJ3aka9M,497.99,In Stock,New,USD,False,Beach Camera,Standard,Samsung,,Electronics
AV13iAUYGV-KLJ3aka9M,499.99,Yes,New,USD,False,Bestbuy.com,,Samsung,,Electronics
AV13iAUYGV-KLJ3aka9M,399.99,TRUE,new,USD,True,Bestbuy.com,,Samsung,,Electronics
AV13iAUYGV-KLJ3aka9M,499.99,In Stock,New,USD,False,Beach Camera,Standard,Samsung,,Electronics
AVpgF1BOilAPnD_xnTsK,37.99,Out Of Stock,New,USD,False,Walmart.com,,"Sdi Technologies, Inc.",iHome,Electronics
AVpgF1BOilAPnD_xnTsK,39.99,Yes,New,USD,False,Bestbuy.com,,"Sdi Technologies, Inc.",iHome,Electronics
AVpgF1BOilAPnD_xnTsK,49.99,In Stock,New,USD,False,SharpPrices,Standard,"Sdi Technologies, Inc.",iHome,Electronics
AVpgF1BOilAPnD_xnTsK,43.99,In Stock,New,USD,False,AMI Ventures Inc,Value,"Sdi Technologies, Inc.",iHome,Electronics
AVpgF1BOilAPnD_xnTsK,49.99,Yes,New,USD,False,Bestbuy.com,,"Sdi Technologies, Inc.",iHome,Electronics
AVpgF1BOilAPnD_xnTsK,32.99,Yes,New,USD,False,Bestbuy.com,,"Sdi Technologies, Inc.",iHome,Electronics
AVpgF1BOilAPnD_xnTsK,37.99,Yes,New,USD,False,Bestbuy.com,,"Sdi Technologies, Inc.",iHome,Electronics
AVpgF1BOilAPnD_xnTsK,44.65,In Stock,New,USD,False,AMI Ventures Inc,Value,"Sdi Technologies, Inc.",iHome,Electronics
AVpfM3TL1cnluZ0-gDuQ,99.99,TRUE,new,USD,False,Bestbuy.com,,Polk Audio,Polk Audio,Electronics
AVpjQLlKLJeJML43tRja,229.99,TRUE,pre-owned,USD,False,Bestbuy.com,,Apple,,Electronics
AVpjQLlKLJeJML43tRja,299.99,Yes,Refurbished,USD,False,Bestbuy.com,,Apple,,Electronics
AVpjQLlKLJeJML43tRja,649.99,Yes,Refurbished,USD,False,Bestbuy.com,,Apple,,Electronics
AVpjQLlKLJeJML43tRja,249.99,Yes,Refurbished,USD,False,Bestbuy.com,,Apple,,Electronics
AV1YFmcQglJLPUi8IGd1,74.99,In Stock,New,USD,False,Technology Galaxy,Value,Corsair,,Electronics
AV1YFmcQglJLPUi8IGd1,70.88,In Stock,New,USD,False,Hippo-Deals,Value,Corsair,,Electronics
AV1YFmcQglJLPUi8IGd1,45.1,Out Of Stock,New,USD,False,OutletPC,,Corsair,,Electronics
AV1YFmcQglJLPUi8IGd1,79.99,In Stock,New,USD,False,Technology Galaxy,Value,Corsair,,Electronics
AV1YFmcQglJLPUi8IGd1,64.99,Yes,New,USD,False,Bestbuy.com,,Corsair,,Electronics
AV1YFmcQglJLPUi8IGd1,67.99,Yes,New,USD,False,Bestbuy.com,,Corsair,,Electronics
AV2Zq0TUvKc47QAVpH6i,61.85,In Stock,New,USD,False,bhphotovideo.com,Free Expedited Shipping for most orders over $49,Peerless-AV,,Electronics
AV2Zq0TUvKc47QAVpH6i,69.99,Yes,New,USD,False,Bestbuy.com,,Peerless-AV,,Electronics
AV2Zq0TUvKc47QAVpH6i,59.95,In Stock,New,USD,False,bhphotovideo.com,Free Expedited Shipping for most orders over $49,Peerless-AV,,Electronics
AV2Zq0TUvKc47QAVpH6i,69.99,TRUE,new,USD,False,Bestbuy.com,,Peerless-AV,,Electronics
AVpgm2X2ilAPnD_xu0wB,599.99,Yes,New,USD,False,Bestbuy.com,,Bose,BOSE,Electronics
AVpgm2X2ilAPnD_xu0wB,599.0,In Stock,New,USD,False,bhphotovideo.com,Free Expedited Shipping for most orders over $49,Bose,BOSE,Electronics
AVzNjFsJvKc47QAVd1TD,399.0,yes,New,USD,False,wwstereo,FREE,Denon,,Electronics
AVzNjFsJvKc47QAVd1TD,499.0,In Stock,New,USD,True,bhphotovideo.com,Free Expedited Shipping for most orders over $49,Denon,,Electronics
AVzNjFsJvKc47QAVd1TD,599.98,Yes,New,USD,False,Bestbuy.com,,Denon,,Electronics
AVzNjFsJvKc47QAVd1TD,399.0,In Stock,New,USD,False,bhphotovideo.com,Free Expedited Shipping for most orders over $49,Denon,,Electronics
AVzNjFsJvKc47QAVd1TD,499.98,Yes,New,USD,False,Bestbuy.com,,Denon,,Electronics
AVzNjFsJvKc47QAVd1TD,399.98,TRUE,new,USD,True,Bestbuy.com,,Denon,,Electronics
